kind,id,key,value
task,111,test_start,297.2
task,111,test_end,304.59
task,112,arrived,199.02
task,112,dev_queue_length,0.0
task,112,dev_time,3.81
task,112,dev_start,292.37
task,112,dev_end,296.17
task,112,test_queue_length,0.0
task,112,test_time,5.39
task,112,test_start,296.51
task,112,test_end,301.9
task,113,arrived,199.78
task,113,dev_queue_length,0.0
task,113,dev_time,1.35
task,113,dev_start,296.17
task,113,dev_end,297.53
task,113,test_queue_length,0.0
task,113,test_time,2.72
task,113,test_start,301.9
task,113,test_end,304.62
task,114,arrived,201.62
task,114,dev_queue_length,0.0
task,114,dev_time,5.12
task,114,dev_start,297.11
task,114,dev_end,302.23
task,114,test_queue_length,0.0
task,114,test_time,3.43
task,114,test_start,304.62
task,114,test_end,308.05
task,115,arrived,202.61
task,115,dev_queue_length,0.0
task,115,dev_time,2.23
task,115,dev_start,297.53
task,115,dev_end,299.76
task,115,test_queue_length,0.0
task,115,test_time,6.37
task,115,test_start,304.59
task,115,test_end,310.97
task,116,arrived,203.55
task,116,dev_queue_length,0.0
task,116,dev_time,7.21
task,116,dev_start,299.76
task,116,dev_end,306.97
task,116,test_queue_length,0.0
task,116,test_time,4.97
task,116,test_start,308.05
task,116,test_end,313.02
task,117,arrived,208.16
task,117,dev_queue_length,0.0
task,117,dev_time,8.17
task,117,dev_start,302.23
task,117,dev_end,310.39
task,117,test_queue_length,0.0
task,117,test_time,1.93
task,117,test_start,313.02
